"","O.NET.SOC.Code","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"1","11-1011.00","Chief Executives",4,4.12,4.38,4.25,4.38,1,1.12,1,3.12,4.5,3.12,4.12,3.88,4.25,3.25,4.12,4.12,1.75,1.88,3.12,4.12,1.62,1.75,4.12,1,1.88,3.12,4.25,4.38,4.12,4.12,1.75,4,1,4,"Importance"
"2","11-1011.03","Chief Sustainability Officers",3.5,3.88,4,3.62,4,1,1.12,1,3.25,3.75,3.38,2.62,2.38,3.38,2.75,3.62,2.88,1.62,2.25,2.62,3.62,1.62,2.25,4,1,1.75,3.25,3.75,4,3.62,3.62,1.62,3.38,1.12,3.88,"Importance"
"3","11-1021.00","General and Operations Managers",3.5,4,3.5,4,3.88,1,1,1,3.12,3.5,3,3.12,3.25,3.5,2.38,4,3.62,2,2.75,2.75,3.38,1.5,2.38,3.88,1,1.88,3.25,4,4,3,3,1.88,3.75,2,3.25,"Importance"
"4","11-2011.00","Advertising and Promotions Managers",3.25,4,3.5,3.5,3.75,1,1.25,1,2.88,3.75,2.75,2.88,2.5,3.12,3,3.25,3.38,1.25,1.62,2.88,3.25,1.38,1.88,3.75,1,1.5,3.12,4,4,3.12,3,1.62,3.88,1.12,3.75,"Importance"
"5","11-2021.00","Marketing Managers",3.88,3.88,3.62,3.5,3.88,1,1,1,3,3.75,3.12,2.88,2.62,3.38,2.75,3.75,3.62,1,1.75,3.38,3.75,1.88,1.88,3.88,1,1.75,3.12,3.88,3.88,3.25,3.5,1.75,3.5,1,3.25,"Importance"
"6","11-2022.00","Sales Managers",3.62,4.12,3.62,3.88,3.88,1,1,1,3.62,3.75,3.38,2.88,2.62,3.75,3,3.88,3.62,2.12,2.25,3,4,1.75,1.88,3.5,1,1.5,3.88,4.12,4.25,3.5,3.5,1.75,3.62,1,3.75,"Importance"
"7","11-2031.00","Public Relations and Fundraising Managers",3.25,4.25,3.62,3.75,3.75,1,1,1,3,3.62,2.75,3.12,2.62,3.38,2.75,3.5,3.38,1.12,1.75,2.62,3.75,1.62,1.88,4.12,1,1.5,3.38,4.12,4.38,3.5,3.5,1.5,3.62,1,4.12,"Importance"
"8","11-3011.00","Administrative Services Managers",3.12,3.88,3.12,3.75,3.5,1,1,1,3.12,3.38,2.75,2.62,2.75,3.38,2.38,3.25,3.5,1.25,2.25,2.5,3,1.38,2.38,3.62,1,1.25,3.25,3.38,4,3.12,2.75,1.38,3.62,1.75,3.62,"Importance"
"9","11-3021.00","Computer and Information Systems Managers",3.25,4,3.88,3.75,4,2.25,2.5,1.12,3.5,3.62,3.25,3,2.88,3.5,2.75,3.88,3.38,2.38,3.12,3.25,3.12,2.75,2.62,4.25,2.5,2.12,3.12,3.62,3.75,3.5,3.5,2.5,3.5,2.62,3.88,"Importance"
"10","11-3031.01","Treasurers and Controllers",3.75,3.88,4,3.75,4.12,1,1,1,2.88,4.12,3,4,2.62,3,3.88,3.62,3,1,1.62,2.75,3,1.88,1.88,4,1,1.5,2.88,3.25,4,3.38,3.38,1.5,3.5,1,3.62,"Importance"
"11","11-3031.02","Financial Managers, Branch or Department",3.75,4,3.75,3.75,4,1,1,1,3.12,3.88,3.5,3,2,3.75,3.25,4,3.12,1.25,1.62,2.5,3.62,1.38,1.38,4,1.12,1.38,3.62,3.75,4,3.12,3,1.5,3.62,1,3.88,"Importance"
"12","11-3051.00","Industrial Production Managers",3.5,3.75,3.5,3.88,4,1.88,2,1,3.25,3.75,3.5,3.25,3.38,3.62,3.12,4,3.12,2.38,2.88,2.75,3.25,1.75,3.25,3.75,1.88,1.88,2.88,3.25,4,3.5,3.12,1.88,3.88,2.25,3.12,"Importance"
"13","11-3051.01","Quality Control Systems Managers",3.5,3.88,3.75,3.38,3.75,2.38,2,1.12,3.38,4,3.38,2.88,2.62,3.12,3.12,3.88,3.12,2.62,3.12,2.62,3.25,2,4,4.12,2.25,2.38,2.88,3.5,3.75,3.5,3.62,2,3.75,3,3.75,"Importance"
"14","11-3051.02","Geothermal Production Managers",3.5,3.62,3.62,3.75,4,2.5,2.25,1,3.25,3.75,3.25,3.25,3.12,3.62,3.25,3.88,3,2.88,3.25,2,3,1.88,3.12,3.88,2.75,2.38,2.88,3.5,3.88,3.25,3.25,2,3.62,2.88,3.62,"Importance"
"15","11-3051.04","Biomass Power Plant Managers",3,3.62,3.62,3.75,4,2.38,2,1.12,3,3.75,2.75,3.38,3.12,3.75,2.88,3.75,3,2.5,3.5,2.25,3.25,2.12,3.25,3.75,2.25,2.5,2.62,3.12,3.88,3.38,3.25,1.75,3.75,2.75,3.38,"Importance"
"16","11-3061.00","Purchasing Managers",3.38,3.88,3.25,4,3.88,1,1,1,3.38,3.62,3.38,3.38,3.12,3.75,2.88,3.62,3.75,1.25,2.12,2.5,3.75,1.62,2.75,3.62,1,1.38,3.5,3.75,3.88,3.25,3.12,1.75,3.75,2,3.62,"Importance"
"17","11-3071.01","Transportation Managers",3.25,3.88,3.62,3.75,3.88,1,1,1,3.25,3.62,3,2.88,2.75,3.5,3.12,3.88,3.5,1.62,1.75,3,3.5,1.38,2.12,4,1.12,1.75,2.88,3.38,4,3.12,3.25,1.75,3.62,1.38,3.75,"Importance"
"18","11-3071.02","Storage and Distribution Managers",2.75,3.75,3.5,3.62,3.62,1.12,1.38,1,2.88,3.25,2.75,3.25,2.88,3.5,3,3.62,3.25,2.38,2.75,2.62,3.12,1.38,2.5,3.5,1.12,1.25,2.88,3.38,3.88,3.12,2.75,1.38,3.38,1.88,3.5,"Importance"
"19","11-3071.03","Logistics Managers",3.5,3.88,3.88,3.62,3.88,1,1.25,1,2.88,3.88,3.25,3.12,3.25,3.62,3,3.75,3.62,1.88,2.75,2.75,3.5,1.75,1.88,3.88,1,1.25,3.12,3.38,3.75,3.12,3.5,1.62,4,1.5,3.75,"Importance"
"20","11-3111.00","Compensation and Benefits Managers",3.5,4,3.25,3.12,3.88,1,1,1,3.12,3.75,2.88,3.25,2,3.5,3,3.38,3.12,1,1.5,3,3.12,1.38,1.5,4,1,1.38,3.12,3.5,4,3.38,3.25,1.5,3.62,1,3.5,"Importance"
"21","11-3121.00","Human Resources Managers",3.5,4,3.62,3.88,3.88,1,1,1,3.38,3.75,3.25,2.88,2.62,4,2.88,3.62,3.75,1.25,1.75,2.62,3.62,2,1.75,3.88,1,1.88,3.38,4,4,3.62,3.62,1.75,3.62,1,3.5,"Importance"
"22","11-3131.00","Training and Development Managers",3.75,4,3.62,4,3.88,1,1,1,4.12,3.62,4.38,3.62,2.75,3.75,2.62,3.75,3,1.12,2,2.62,3.5,1.62,2.62,3.75,1,1.62,3.5,3.75,4.38,3.38,3.25,1.62,3.62,1.75,3.5,"Importance"
"23","11-9013.01","Nursery and Greenhouse Managers",3.38,3.75,3.5,3.88,3.75,1.88,2,1.12,3.75,3.75,3,3,3.12,4,2.38,3.88,3.5,2.38,2.88,2.25,3.38,1.5,2.75,3.38,1.88,2.88,3.12,3.5,4,2.75,3.12,1.62,3.62,2.25,3.12,"Importance"
"24","11-9013.02","Farm and Ranch Managers",3.12,3.38,3.25,3.5,4,2.25,2.5,1.12,2.88,3.75,3,2.75,2.88,3,3.12,3.5,3.12,3.12,3.25,2.12,3.25,1.5,3.12,3.25,2.25,2.5,2.5,3,3.62,3.25,3.12,1.75,3.38,2.5,2.88,"Importance"
"25","11-9013.03","Aquacultural Managers",3.25,3.75,3.5,3.38,3.88,2.25,2.12,1.12,3,3.75,2.88,2.62,2.38,3.38,2.5,3.62,3.12,2.75,3.12,2.88,3,1.5,2.88,3.75,2.12,3.25,2.88,3.5,3.88,3.38,3.25,1.62,3.75,2.38,3.5,"Importance"
"26","11-9021.00","Construction Managers",3.62,3.88,3.75,3.75,3.88,1,1.12,1,2.88,3.5,2.88,3.38,3.25,3.75,3.25,3.62,3.62,2.12,2.75,3.38,3.12,1.5,3,3.75,1,2.12,3,3.38,3.88,3.12,3.12,1.88,3.75,2,3.38,"Importance"
"27","11-9031.00","Education Administrators, Preschool and Childcare Center/Program",3.62,4,3.5,3.88,3.88,1,1.25,1,3.62,3.62,3.5,2.62,2.75,3.62,2.62,4,3.62,1.25,1.88,1.62,3.25,1.38,2,3.88,1,1.12,3.62,3.88,4,3.25,3.25,1.5,3.88,1.62,3.75,"Importance"
"28","11-9032.00","Education Administrators, Elementary and Secondary School",3.88,4.38,4,4,4.25,1,1.25,1,3.88,4.12,4.12,3.25,2.88,4,3.38,4,3.5,1.25,1.75,2.12,3.38,1.75,2.75,4.38,1,2,3.5,4.12,4.38,3.38,3.62,1.5,3.5,1.62,4.25,"Importance"
"29","11-9033.00","Education Administrators, Postsecondary",3.75,4.12,3.88,3.88,4.12,1,1,1,3.88,4,3.5,3.12,2.88,3.75,2.88,4,3.62,1,2,1.25,3.5,1.38,1,4.12,1,1.38,3.75,3.88,4.12,3.38,3.38,1.5,3.88,1,4,"Importance"
"30","11-9039.01","Distance Learning Coordinators",3.62,4,3.5,3.75,3.88,1,1.62,1,3.75,3.62,3.88,2.75,2.62,3.25,2.62,3.5,3.25,1.25,2.12,2.38,3.5,1.88,2.62,3.88,1,1.25,3.38,3.75,4,3.5,3.5,1.88,3.38,2.38,4,"Importance"
"31","11-9039.02","Fitness and Wellness Coordinators",3.38,3.75,3.25,3.88,3.88,1.38,1.75,1,3.25,3.38,3.25,2.75,2.75,3.62,2.38,3.38,3.12,1.5,2,1.62,3.38,1.75,2.25,3.75,1.12,1.62,3.5,3.88,3.88,3,2.88,2,3.12,1.88,3.5,"Importance"
"32","11-9041.00","Architectural and Engineering Managers",3.5,3.88,3.75,3.75,4,1,1.25,1.12,3.25,3.75,3.12,3,3,3.12,3.62,3.62,3.38,1.88,2.5,2.25,3.38,2,2.88,4.12,1.12,2.38,3,3.5,3.75,3.25,3.25,1.88,3.75,1.88,3.62,"Importance"
"33","11-9041.01","Biofuels/Biodiesel Technology and Product Development Managers",3.25,3.5,3.62,3.25,3.62,1.75,2.25,1.12,3,3.62,2.88,2,2,3.12,3.12,3.25,2.88,2.25,3,2.38,3,2,3.12,3.62,1.75,3.12,2.88,2.88,3.62,3.62,3.5,2.12,3.25,2,3.62,"Importance"
"34","11-9051.00","Food Service Managers",3.5,3.62,3.12,3.88,3.88,2.12,2,1,3.5,3.38,3.12,2.88,2.88,3.75,2.75,3.75,3.25,2.25,2.75,3.38,3.38,1.38,2.62,3.5,2,2.12,4,3.75,3.88,2.88,2.75,1.5,3.75,2.25,3.25,"Importance"
"35","11-9061.00","Funeral Service Managers",2.75,3.75,3,3.5,3.12,1,1,1,3,3.12,2.88,2.5,2.38,3.38,2.38,3.62,3.38,1.88,2.12,1.38,3.38,1.5,2,3.62,1,1.25,4,3.75,3.75,2.5,2.5,1.62,3.62,1.75,3.38,"Importance"
"36","11-9071.00","Gaming Managers",3.62,3.75,3.5,4,4,1,1,1,3.62,3.75,3.25,2.88,2.62,4,3,3.88,3.38,1.12,1.88,2.12,3.62,1.62,2.75,3.5,1,1.62,3.75,3.88,4,3.12,3,1.38,3.75,1.62,3.62,"Importance"
"37","11-9081.00","Lodging Managers",3.5,4.25,3.75,4.25,4.12,2.12,2.12,1,3.62,3.88,3.38,3.38,3.38,4.12,3.25,4,3.62,2.38,2.38,1.62,3.62,1.5,2.88,3.88,2,1,4,3.88,4.12,3.38,3.5,1.5,4,2,3.62,"Importance"
"38","11-9111.00","Medical and Health Services Managers",3.75,4,3.75,3.88,4,1,1,1,3.75,4,3.38,3.38,3,3.88,2.75,3.75,3.62,1,2.12,3.62,3.62,1.38,2.38,4.12,1,3,3.62,3.88,4.12,3.75,3.75,1.5,3.88,1.75,3.88,"Importance"
