,Id2,Id,Url,Category,Description,Green Occupational Category
0,11-1011.00,Chief Executives,http://www.bls.gov/soc/2010/soc111011.htm,11,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",
1,11-1011.03,Chief Sustainability Officers,http://www.bls.gov/soc/2010/soc111011.htm,11,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",Green New & Emerging
2,11-1021.00,General and Operations Managers,http://www.bls.gov/soc/2010/soc111021.htm,11,"Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.",Green Enhanced Skills
3,11-2011.00,Advertising and Promotions Managers,http://www.bls.gov/soc/2010/soc112011.htm,11,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",
4,11-2021.00,Marketing Managers,http://www.bls.gov/soc/2010/soc112021.htm,11,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",Green Enhanced Skills
5,11-2022.00,Sales Managers,http://www.bls.gov/soc/2010/soc112022.htm,11,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",
6,11-2031.00,Public Relations and Fundraising Managers,http://www.bls.gov/soc/2010/soc112031.htm,11,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",
7,11-3011.00,Administrative Services Managers,http://www.bls.gov/soc/2010/soc113011.htm,11,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.",
8,11-3021.00,Computer and Information Systems Managers,http://www.bls.gov/soc/2010/soc113021.htm,11,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",
9,11-3031.01,Treasurers and Controllers,http://www.bls.gov/soc/2010/soc113031.htm,11,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",
10,11-3031.02,"Financial Managers, Branch or Department",http://www.bls.gov/soc/2010/soc113031.htm,11,"Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.",
11,11-3051.00,Industrial Production Managers,http://www.bls.gov/soc/2010/soc113051.htm,11,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",Green Increased Demand
12,11-3051.01,Quality Control Systems Managers,http://www.bls.gov/soc/2010/soc113051.htm,11,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",
13,11-3051.02,Geothermal Production Managers,http://www.bls.gov/soc/2010/soc113051.htm,11,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,Green New & Emerging
14,11-3051.04,Biomass Power Plant Managers,http://www.bls.gov/soc/2010/soc113051.htm,11,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",Green New & Emerging
15,11-3061.00,Purchasing Managers,http://www.bls.gov/soc/2010/soc113061.htm,11,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",
16,11-3071.01,Transportation Managers,http://www.bls.gov/soc/2010/soc113071.htm,11,"Plan, direct, or coordinate the transportation operations within an organization or the activities of organizations that provide transportation services.",Green Enhanced Skills
17,11-3071.02,Storage and Distribution Managers,http://www.bls.gov/soc/2010/soc113071.htm,11,"Plan, direct, or coordinate the storage or distribution operations within an organization or the activities of organizations that are engaged in storing or distributing materials or products.",Green Enhanced Skills
18,11-3071.03,Logistics Managers,http://www.bls.gov/soc/2010/soc113071.htm,11,"Plan, direct, or coordinate purchasing, warehousing, distribution, forecasting, customer service, or planning services. Manage logistics personnel and logistics systems and direct daily operations.",Green New & Emerging
19,11-3111.00,Compensation and Benefits Managers,http://www.bls.gov/soc/2010/soc113111.htm,11,"Plan, direct, or coordinate compensation and benefits activities of an organization.",
20,11-3121.00,Human Resources Managers,http://www.bls.gov/soc/2010/soc113121.htm,11,"Plan, direct, or coordinate human resources activities and staff of an organization.",
21,11-3131.00,Training and Development Managers,http://www.bls.gov/soc/2010/soc113131.htm,11,"Plan, direct, or coordinate the training and development activities and staff of an organization.",
22,11-9013.01,Nursery and Greenhouse Managers,http://www.bls.gov/soc/2010/soc119013.htm,11,"Plan, organize, direct, control, and coordinate activities of workers engaged in propagating, cultivating, and harvesting horticultural specialties, such as trees, shrubs, flowers, mushrooms, and other plants.",
