"","o_net_soc_code","title","education_level_required","salary_us","skills_active_learning","skills_critical_thinking","interests_realistic","knowledge_chemistry","jobs1k_california","jobs1k_new_york","salary_california","salary_new_york","score"
"1","11-1021.00","General and Operations Managers",4,97730,3.5,3.88,0.95,1.95,17.3,17.49,104630,120620,2.04726633093898
"2","11-3061.00","Purchasing Managers",6,108120,3.38,3.88,1.90714285714286,1.88,0.55,0.47,110990,119270,1.68082566064903
"3","11-3111.00","Compensation and Benefits Managers",6,111430,3.5,3.88,0.714285714285714,1,0.11,0.17,128920,135850,1.21970958940224
"4","11-3121.00","Human Resources Managers",6,104440,3.5,3.88,0.95,1.27,1.01,1.11,119860,119600,1.70146499956551
"5","11-3131.00","Training and Development Managers",6,102640,3.75,3.88,0.95,1.33,0.2,0.3,118370,120030,1.44644527059057
"6","11-9032.00","Education Administrators, Elementary and Secondary School",8,90410,3.88,4.25,0.95,1.55,1.25,1.98,110860,111830,1.88920015513775
"7","11-9111.00","Medical and Health Services Managers",6,94500,3.75,4,1.19285714285714,1.62,1.93,2.98,117660,113640,1.9442994345104
"8","11-9199.01","Regulatory Affairs Managers",6,104850,3.38,3.88,1.19285714285714,3.03,2.54,1.61,122080,108040,2.06944073632155
"9","11-9199.02","Compliance Managers",6,104850,3.62,4,2.62142857142857,2.26,2.54,1.61,122080,108040,2.06737506212823
"10","11-9199.03","Investment Fund Managers",6,104850,3.75,4,0.714285714285714,1.1,2.54,1.61,122080,108040,1.81821201632725
"11","11-9199.04","Supply Chain Managers",6,104850,3.5,3.75,1.90714285714286,1.48,2.54,1.61,122080,108040,1.88466974123643
"12","11-9199.07","Security Managers",6,104850,3.25,4,2.37857142857143,1.8,2.54,1.61,122080,108040,1.9311117955138
"13","11-9199.08","Loss Prevention Managers",5,104850,3.5,4,2.62142857142857,1.46,2.54,1.61,122080,108040,1.92975842276645
"14","11-9199.09","Wind Energy Operations Managers",1,104850,3.08362683438155,3.52159329140461,2.85714285714286,2.02840670859539,2.54,1.61,122080,108040,1.94039919092906
"15","11-9199.10","Wind Energy Project Managers",1,104850,3.08362683438155,3.52159329140461,1.66428571428571,2.02840670859539,2.54,1.61,122080,108040,1.8809220201904
"16","11-9199.11","Brownfield Redevelopment Specialists and Site Managers",6,104850,3.12,4,2.14285714285714,3.32,2.54,1.61,122080,108040,2.12727961373447
"17","15-1111.00","Computer and Information Research Scientists",8,110620,3.38,3.75,3.57142857142857,1.66,0.34,0.1,118060,110620,1.52085178680969
"18","15-1122.00","Information Security Analysts",6,90120,3.25,3.88,3.33571428571429,1.47,0.52,0.54,107230,107680,1.68218093040383
"19","15-1132.00","Software Developers, Applications",6,98260,2.88,3.5,3.57142857142857,1.1,8,5.17,119740,105120,1.90706017081019
"20","15-1133.00","Software Developers, Systems Software",6,105570,2.88,3.62,2.85714285714286,1.72,5.32,2.05,124150,106200,1.91217585310742
"21","15-1143.00","Computer Network Architects",1,100240,3.56,3.5,2.85714285714286,1.18,0.92,0.86,126410,108980,1.74444226890308
"22","15-1143.01","Telecommunications Engineering Specialists",3,100240,3.5,3.75,4.28571428571429,1.52,0.92,0.86,126410,108980,1.87002101382793
"23","15-2011.00","Actuaries",6,97070,3.38,4.25,1.42857142857143,1.09,0.1,0.26,100470,110560,1.30851979432743
"24","15-2021.00","Mathematicians",8,111110,3.75,4,1.19285714285714,2.12,0.05,0,118040,111110,1.20707482364353
"25","17-2011.00","Aerospace Engineers",6,107830,3.62,4.12,4.05,2.14,0.84,0.07,114730,112350,1.73001090497386
"26","17-2061.00","Computer Hardware Engineers",6,111730,3.62,4,4.52142857142857,2.36,1.74,0.17,129990,105320,1.92102365300776
"27","17-2171.00","Petroleum Engineers",6,129990,3.5,3.88,3.80714285714286,3.33,0.15,0,121320,129990,1.56902525789112
"28","19-2011.00","Astronomers",11,104100,4.12,4.12,3.33571428571429,3.15,0.01,0,133820,104100,1.48000237993523
"29","19-2012.00","Physicists",7,111580,3.75,4.25,2.85714285714286,2.86,0.14,0.12,108500,115120,1.65439279881193
"30","19-3011.00","Economists",8,99180,3.5,4,1.66428571428571,1.38,0.13,0.07,105430,106590,1.27120667351443
"31","19-3011.01","Environmental Economists",8,99180,3.62,3.88,0.95,1.79,0.13,0.07,105430,106590,1.30888742000634
"32","19-3039.01","Neuropsychologists and Clinical Neuropsychologists",12,94590,4,4.5,1.90714285714286,1.62,0.1,0.07,105370,100150,1.3885409710765
"33","25-1032.00","Engineering Teachers, Postsecondary",11,95060,3.38,3.62,3.09285714285714,3.3,0.15,0.36,108660,100520,1.76511906988742
"34","25-1063.00","Economics Teachers, Postsecondary",8,94000,3.5,3.88,0.714285714285714,1.09,0.06,0.18,107690,104650,1.19115554098894
"35","27-1011.00","Art Directors",6,89760,3.38,3.75,2.14285714285714,1.19,0.41,0.86,110410,115880,1.61149606463022
"36","29-1041.00","Optometrists",11,103900,3.38,4,3.57142857142857,3.35,0.26,0.29,110550,117890,1.85187045535609
"37","29-1071.00","Physician Assistants",6,98180,3.62,4.12,2.85714285714286,3,0.65,1.31,109370,101040,2.06241770870164
"38","29-1071.01","Anesthesiologist Assistants",3,98180,3.5,3.62,3.80714285714286,3.62,0.65,1.31,109370,101040,2.15964685607681
"39","29-1081.00","Podiatrists",10,119340,3.75,4,3.09285714285714,3.04,0.06,0.1,101650,123150,1.59380639023012
"40","29-1131.00","Veterinarians",11,88490,3.62,3.88,4.05,3.22,0.39,0.35,102940,115870,1.95514607407313
"41","29-1171.00","Nurse Practitioners",8,98190,4.12,4.12,3.09285714285714,3.17,0.69,1.25,118000,107150,2.17710286228229
"42","41-9031.00","Sales Engineers",5,97650,3.62,4,3.57142857142857,1.94,0.83,0.3,106290,100310,1.80878205767271
"43","53-2011.00","Airline Pilots, Copilots, and Flight Engineers",5,117290,3.75,4,5,2.2,0.48,0.59,127450,108910,1.95592895206489
