"","O.NET.SOC.Code","Title","Administration.and.Management","Biology","Building.and.Construction","Chemistry","Clerical","Communications.and.Media","Computers.and.Electronics","Customer.and.Personal.Service","Design","Economics.and.Accounting","Education.and.Training","Engineering.and.Technology","English.Language","Fine.Arts","Food.Production","Foreign.Language","Geography","History.and.Archeology","Law.and.Government","Mathematics","Mechanical","Medicine.and.Dentistry","Personnel.and.Human.Resources","Philosophy.and.Theology","Physics","Production.and.Processing","Psychology","Public.Safety.and.Security","Sales.and.Marketing","Sociology.and.Anthropology","Telecommunications","Therapy.and.Counseling","Transportation"
"1","11-1011.00","Chief Executives",6.23,0.56,2,0.95,3.5,3.35,2.54,5.55,2.04,4.36,4.45,1.59,4.56,0.87,0.29,0.78,1.29,1.09,4,4.23,1.05,0.73,5.02,1.82,0.41,2.92,3.94,3.61,3.9,2.99,1.59,2.5,1.91
"2","11-1011.03","Chief Sustainability Officers",4.72,3.08,4.32,3.04,3.64,2.92,3.68,4.92,4.8,3.6,5.19,4.2,4.48,0.96,1.36,0.88,3.81,1.88,3.08,4.15,2.76,0.54,4.08,2.42,2.96,2.35,3.24,3.38,4.84,3.36,0.81,0.54,2.48
"3","11-1021.00","General and Operations Managers",5.21,0.9,2.62,1.74,3.7,2.68,4,5.06,2.66,3.84,3.87,2.31,3.68,0.47,0.49,1.13,1.68,0.43,3.12,4.16,2.91,0.86,4.43,0.87,1.41,4.34,2.78,3.12,4.05,1.3,2.33,1.48,2.31
"4","11-2011.00","Advertising and Promotions Managers",4.39,0.19,0.19,0.23,3.86,5.3,4.27,4.47,3.33,1.98,2.78,0.62,5.06,3.51,0.34,1.29,1.97,0.64,1.73,3.27,0.38,0,3.12,1.06,0.17,3.51,2.95,1.22,4.73,1.48,2.91,0.55,1.38
"5","11-2021.00","Marketing Managers",4.61,0.2,0.42,0.43,4.1,4.21,4.05,4.85,3.55,3.55,4.15,2.47,5.04,1.32,0.28,1.36,2.55,1.09,2.93,4.4,0.54,0.44,3.55,1.12,0.37,2.92,2.86,2.26,6.05,2.44,2.56,1.1,1.53
"6","11-2022.00","Sales Managers",4.62,0.52,0.62,0.76,4.1,2.67,3.52,5.26,1.05,3.35,4.52,1.48,4.14,0.5,0.24,0.65,1.86,0.65,2.95,4.38,1.38,0.6,4.55,1.15,0.67,1.95,3.76,1.33,5.9,2.52,2.05,1.24,1.43
"7","11-2031.00","Public Relations and Fundraising Managers",4.49,0.04,0.23,0.04,4.17,5.33,3.93,6.01,1.23,2.92,3.65,0.44,5.6,0.97,0.02,1.1,1.4,1.4,2.36,2.61,0.31,0.97,4.25,1.71,0.04,2.1,2.43,1.87,5.68,2.54,1.88,0.95,1.02
"8","11-3011.00","Administrative Services Managers",4.12,0.24,1.4,0.51,5.81,2.18,4.18,5.33,1.69,4.06,2.59,1.06,4.04,0.37,0.94,0.43,1.2,0.55,1.98,3.7,1.05,0.68,4.21,0.87,0.28,2.32,1.99,2.03,3.13,1.1,1.63,0.97,1.67
"9","11-3021.00","Computer and Information Systems Managers",4.83,0.51,0.92,0.57,4.13,2.87,5.69,5.11,2.53,3.59,3.84,2.47,4.32,0.27,0.02,0.43,0.76,0.09,1.42,4.34,1.72,0.86,4.03,0.4,0.66,4.03,2.02,2.43,3.06,0.99,4.11,0.96,1.41
"10","11-3031.01","Treasurers and Controllers",5.93,0.43,0.97,0.47,3.37,2.2,4.17,3.6,1.07,6.23,3.33,1,4.27,0.3,0.2,0.9,1.31,1.03,3.8,5.1,0.63,0.9,4.43,1.07,0.27,2.38,2.9,1.9,1.97,1.93,1.45,1.27,1.3
"11","11-3031.02","Financial Managers, Branch or Department",4.62,0.04,0.86,0.05,3.16,2.59,3.34,4.1,0.8,4.48,3.17,0.64,4.23,0.34,0,0.28,0.39,0.07,3.16,4.25,0.59,0.02,3.09,0.36,0.01,1.2,2.96,1.79,3.64,1.81,1.07,0.69,0.84
"12","11-3051.00","Industrial Production Managers",5.34,0.54,1.52,2.28,3.63,2.05,3.99,4.84,2.99,2.48,4.61,4.13,3.63,0.1,0.59,0.49,1.31,0.19,2.72,4.4,4.22,0.87,4.59,1.09,2.18,5.62,3.4,2.94,2.43,1.79,1.5,1.31,2.64
"13","11-3051.01","Quality Control Systems Managers",4.51,3.8,1.48,4.63,4.78,2.8,4.09,4.1,1.96,1.95,5.68,3.09,4.13,0,1.27,0.76,1.19,0.09,3.58,4.31,2.77,1.16,4.24,0.45,2.8,3.8,2.82,2.55,1.46,0.97,0.61,1.17,1.72
"14","11-3051.02","Geothermal Production Managers",4.63,2.81,4.53,4.56,4.59,2.52,4.2,3.1,3.95,3.04,5.36,4.83,3.84,0.24,0.17,1.34,2.45,0.73,3.54,4.63,5.89,1.65,4.36,2.79,4.68,4.64,3.56,4.64,1.35,2.21,2.92,2.76,2.31
