"","O.NET.SOC.Code","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"1","11-1011.00","Chief Executives",4.75,4.88,5,5.12,4.75,0,0.62,0,3.88,5.75,3.88,5.5,4.75,5.38,3.62,5.5,4.62,1.5,1.62,4.25,5,0.62,1,4.75,0,1.12,3.38,4.25,4.88,5.38,5.12,0.75,4.75,0,4.38,"Level"
"2","11-1011.03","Chief Sustainability Officers",3.75,4.12,4.25,3.75,4.12,0,0.5,0,3.38,3.75,3.5,3.38,2.62,3.75,3.38,4.12,3.25,1.25,2.12,3.38,3.88,0.88,2.12,4.25,0,1.5,3.38,3.62,4.25,3.88,3.75,1,3.5,0.12,4.38,"Level"
"3","11-1021.00","General and Operations Managers",3.62,4,3.75,3.88,4,0,0,0,3.25,3.75,3.25,3.38,3.25,3.88,2.5,4,3.62,1.75,2.62,3.12,3.5,0.62,2.12,4,0,1.12,3.12,4,4,3,3.12,1.12,3.75,1.38,3.88,"Level"
"4","11-2011.00","Advertising and Promotions Managers",4,4.12,4,4.38,4.12,0,0.5,0,3.5,4.12,3.5,3.75,2.62,4,3.12,4.25,3.75,0.38,1,3.25,3.62,0.62,1.38,4.12,0,0.88,3.25,3.75,4.38,3.38,3.75,0.88,4,0.12,3.88,"Level"
"5","11-2021.00","Marketing Managers",4.12,4.12,3.88,3.75,4.25,0,0,0,3.5,4,3.5,3.75,2.75,3.88,3.12,4.25,3.88,0,1.25,3.62,4.38,1.25,1.38,4.25,0,1.5,3.25,4,4.12,3.75,3.75,0.88,3.75,0,3.88,"Level"
"6","11-2022.00","Sales Managers",3.88,3.88,4,4.25,4,0,0,0,3.62,4.12,3.88,3.88,3,4.25,3.38,4.75,3.88,2.12,2.62,3.12,4.25,1.25,1.88,3.88,0,0.88,3.75,4.25,4.25,3.75,4,1.12,4.12,0,4,"Level"
"7","11-2031.00","Public Relations and Fundraising Managers",3.88,4.25,4,4.38,4.12,0,0,0,3.62,4.12,3.5,3.75,2.88,4,2.75,4.38,4,0.12,1.12,2.62,4.38,1,1.75,4.25,0,0.75,3.62,4.12,4.5,3.75,3.75,0.75,3.75,0,4.38,"Level"
"8","11-3011.00","Administrative Services Managers",3.38,3.75,3.25,3.75,3.62,0,0,0,3.12,3.25,3.12,2.75,2.75,3.5,2.25,3.5,3.38,0.38,2.25,2.38,3.25,0.5,2,3.88,0,0.38,3.38,3.62,3.88,3,3,0.5,3.62,1,3.5,"Level"
"9","11-3021.00","Computer and Information Systems Managers",3.88,3.75,3.75,3.62,3.88,2.38,2.75,0.25,3.88,3.62,3.12,3.25,3.25,3.62,2.62,4.12,3.38,2.12,3.12,3.25,3.38,2.5,2.88,4,2.5,1.62,3.38,3.5,3.75,3.5,4.12,2.25,3.62,3.12,3.88,"Level"
"10","11-3031.01","Treasurers and Controllers",4.25,4.25,4.12,3.75,4.5,0,0,0,3.38,4.5,3.38,5.25,3,3.75,4.12,4.25,3.25,0,1.12,3.25,3.75,1.5,1.5,4.25,0,0.5,2.88,3.62,4.12,4.38,4.12,0.5,4,0,4,"Level"
"11","11-3031.02","Financial Managers, Branch or Department",4,4,3.5,3.88,4,0,0,0,3.88,4,4,3.38,1.88,4,3.38,4.5,3.5,0.38,0.75,2.5,4,0.38,0.75,4,0.12,0.38,3.88,4,4,3.38,3.62,0.5,4,0,4,"Level"
"12","11-3051.00","Industrial Production Managers",4,4.12,3.75,4.38,4.12,1.25,1.75,0,3.5,4.5,3.88,4,4,4.38,3.5,4.88,3.75,3,3.5,2.88,3.75,1.12,3.75,4.25,1.25,1.38,3,3.75,4,3.88,3.75,1.5,4.12,2,3.88,"Level"
