Column,Type
O.NET.SOC.Code,string
Title,string
interests_Artistic,integer
interests_Conventional,integer
interests_Enterprising,integer
interests_Investigative,integer
interests_Realistic,integer
interests_Social,integer
skills_Active.Learning,integer
skills_Active.Listening,integer
skills_Complex.Problem.Solving,integer
skills_Coordination,integer
skills_Critical.Thinking,integer
skills_Equipment.Maintenance,integer
skills_Equipment.Selection,integer
skills_Installation,integer
skills_Instructing,integer
skills_Judgment.and.Decision.Making,integer
skills_Learning.Strategies,integer
skills_Management.of.Financial.Resources,integer
skills_Management.of.Material.Resources,integer
skills_Management.of.Personnel.Resources,integer
skills_Mathematics,integer
skills_Monitoring,integer
skills_Negotiation,integer
skills_Operation.and.Control,integer
skills_Operation.Monitoring,integer
skills_Operations.Analysis,integer
skills_Persuasion,integer
skills_Programming,integer
skills_Quality.Control.Analysis,integer
skills_Reading.Comprehension,integer
skills_Repairing,integer
skills_Science,integer
skills_Service.Orientation,integer
skills_Social.Perceptiveness,integer
skills_Speaking,integer
skills_Systems.Analysis,integer
skills_Systems.Evaluation,integer
skills_Technology.Design,integer
skills_Time.Management,integer
skills_Troubleshooting,integer
skills_Writing,integer
skills_dim,string
knowledge_Administration.and.Management,integer
knowledge_Biology,integer
knowledge_Building.and.Construction,integer
knowledge_Chemistry,integer
knowledge_Clerical,integer
knowledge_Communications.and.Media,integer
knowledge_Computers.and.Electronics,integer
knowledge_Customer.and.Personal.Service,integer
knowledge_Design,integer
knowledge_Economics.and.Accounting,integer
knowledge_Education.and.Training,integer
knowledge_Engineering.and.Technology,integer
knowledge_English.Language,integer
knowledge_Fine.Arts,integer
knowledge_Food.Production,integer
knowledge_Foreign.Language,integer
knowledge_Geography,integer
knowledge_History.and.Archeology,integer
knowledge_Law.and.Government,integer
knowledge_Mathematics,integer
knowledge_Mechanical,integer
knowledge_Medicine.and.Dentistry,integer
knowledge_Personnel.and.Human.Resources,integer
knowledge_Philosophy.and.Theology,integer
knowledge_Physics,integer
knowledge_Production.and.Processing,integer
knowledge_Psychology,integer
knowledge_Public.Safety.and.Security,integer
knowledge_Sales.and.Marketing,integer
knowledge_Sociology.and.Anthropology,integer
knowledge_Telecommunications,integer
